!起始函號	!大正藏	!永樂北	!永樂北函	!乾隆	!乾隆函	!經名	!作譯者	!卷數
	1526	1234	(靜)	1235	(靜)	寶髻經四法憂波提舍	天親菩薩造　元魏 毘目智仙譯	1
	0397-p11					寶髻菩薩品	北涼 曇無讖譯	1
	0356	0246	(才)	0247	(才)	佛說寶積三昧文殊師利菩薩問法身經	後漢 安世高譯	1
	0462	0165	(恭)	0165	(恭)	大方廣寶篋經	劉宋 求那跋陀羅譯	3
						寶鏡三昧	劉宋 求那跋陀羅譯	
						寶鏡三昧本義	清 行策述	1
						寶鏡三昧原宗辨謬說	清 淨訥述	1
						寶覺祖心禪師語錄	(侍者) 子和 錄　(門人) 仲介 重編	1
	0310-s44					寶梁經	北涼 道龔譯	2
						寶林傳	宋 智炬集	9
	1005B					寶樓閣經梵字真言		1
	0397-p03					寶女品	北涼 曇無讖譯	1
	0399	0076	(發)	0076	(發)	寶女所問經	西晉 竺法護譯	4
	0637	0253	(才)	0254	(才)	佛說寶如來三昧經	東晉 祇多蜜譯	2
	1412	0832	(盡)	0833	(盡)	佛說寶生陀羅尼經	宋 施護譯	1
	0488	0911	(深)	0912	(深)	寶授菩薩菩提行經	宋 法賢譯	1
	1974					寶王三昧念佛直指	明 妙[口*十]集	2
	0433	0380	(彼)	0381	(彼)	佛說寶網經	西晉 竺法護譯	1
	0962					寶悉地成佛陀羅尼經	唐 不空譯	1
	1285	0902	(深)	0903	(深)	佛說寶賢陀羅尼經	宋 法賢譯	1
						寶象林禪師語錄		1
	0402	0080	(殷)	0080	(殷)	寶星陀羅尼經	唐 波羅頗蜜多羅譯	10
	1656	1245	(逸)	1246	(逸)	寶行王正論	陳 真諦譯	1
	1635	1303	(星)	1304	(星)	大乘寶要義論	宋 法護等譯	10
	0660	0147	(此)	0147	(此)	佛說寶雨經	唐 達摩流支譯	10
	0437	0820	(則)	0821	(則)	大乘寶月童子問法經	宋 施護譯	1
	0658	0148	(身)	0148	(身)	寶雲經	梁 曼陀羅仙譯	7
						寶雲振祖集	宋 宗曉編	1
	1857	1642	(敦)	1462	(書)	寶藏論	後秦 僧肇著	1
	1283	1040	(止)	1041	(止)	佛說寶藏神大明曼拏羅儀軌經	宋 法天譯	2
	1282					寶藏天女陀羅尼法		1
						寶藏疏	大禪師覺潤述	3
	0686	0299	(知)	0300	(知)	佛說報恩奉盆經	失譯	1
						報恩論	清 沈善登述	4
	0157	0138	(及)	0138	(及)	悲華經	北涼 曇無讖譯	10
	1310					北斗七星護摩法	唐 一行撰	1
	1306					北斗七星護摩祕要儀軌	唐 灌頂阿闍梨述	1
	1305					北斗七星念誦儀軌	唐 金剛智譯	1
	1307					佛說北斗七星延命經	唐 婆羅門僧譯	1
	1247					北方毘沙門天王隨軍護法儀軌	唐 不空譯	1
	1248					北方毘沙門天王隨軍護法真言	唐 不空譯	1
