!起始函號	!大正藏	!永樂北	!永樂北函	!乾隆	!乾隆函	!經名	!作譯者	!卷數
	0710	0957	(興)	0958	(興)	慈氏菩薩所說大乘緣生稻[卄/幹]喻經	唐 不空譯	1
深03	1142	0909	(深)	0910	(深)	佛說慈氏菩薩陀羅尼	宋 法賢譯	1
	0573	0456	(景)	0457	(景)	差摩婆帝授記經	元魏 菩提流支譯	1
	0616	1334	(集)	1335	(集)	禪法要解	姚秦 鳩摩羅什譯	2
黍10	2022	1630	(黍)	1586	(九)	禪林寶訓	宋 淨善重集	4
約10	1919	1553				天台智者大師禪門口訣	隋 智顗說	1
	0613	0773	(竭)	0774	(竭)	禪祕要法經	姚秦 鳩摩羅什等譯	3
敬03	0605	0678	(敬)	0679	(敬)	禪行法想經	後漢 安世高譯	1
孝09	0604	0719	(孝)	0720	(孝)	佛說禪行三十七品經	後漢 安世高譯	1
	0609	1352	(聚)	1353	(聚)	禪要經	失譯	1
敦07	2015	1639	(敦)	1565	(沙)	禪源諸詮集都序	唐 宗密述	2
素09	2021	1645	(素)			禪宗決疑集	元 智徹述	1
		1652	(雞田赤)			禪宗頌古聯珠通集	宋 法應集　元 普會續集	40
	2013	1577	(起)	1544	(俊)	禪宗永嘉集	唐 玄覺撰	1
		1633	(勸賞)			禪宗正[月*永]	明 如巹集	10
禍02	0001	0540	(習聽)	0541	(習聽禍)	長阿含經	後秦 佛陀耶舍共竺佛念譯	22
	0013	0543	(因)	0544	(因)	長阿含十報法經	後漢 安世高譯	2
羊10	0161	0450	(羊)	0451	(羊)	長壽王經	失譯	1
當04	0584	0729	(當)	0730	(當)	長爪梵志請問經	唐 義淨譯	1
短09	0638	0392	(短)	0393	(短)	佛說超日明三昧經	西晉 聶承遠譯	2
靡10	0434	0397	(靡)	0398	(靡)	佛說稱揚諸佛功德經	元魏 吉迦夜譯	3
	0840	0271	(良)	0272	(良)	稱讚大乘功德經	唐 玄奘譯	1
	0367	0194	(貞)	0195	(貞)	稱讚淨土佛攝受經	唐 玄奘譯	1
	1349	0331	(能)	0332	(能)	佛說稱讚如來功德神咒經	唐 義淨譯	1
杜04	1000	1380	(杜)	1381	(杜)	成就妙法蓮華經王瑜伽觀智儀軌	唐 不空譯	1
彼06	0630	0376	(彼)	0377	(彼)	佛說成具光明定意經	後漢 支曜譯	1
舍10	1646	1266	(丙舍)	1267	(丙舍)	成實論	訶梨跋摩造　姚秦 鳩摩羅什譯	16
沛04	1591	1202	(沛)	1203	(沛)	成唯識寶生論	護法菩薩造　唐 義淨譯	5
義10	1585	1189	(義)	1190	(義)	成唯識論	護法等菩薩造　唐 玄奘譯	10
匪05	1609	1213	(匪)	1214	(匪)	大乘成業論	世親菩薩造　唐 玄奘譯	1
罔04	1351	0359	(罔)	0360	(罔)	佛說持句神咒經	吳 支謙譯	1
則10	1370	0826	(則)	0827	(則)	佛說持明藏八大總持王經	宋 施護譯	1
思02	1169	1051	(思)	1052	(思)	佛說持明藏瑜伽大教尊那菩薩大明成就儀軌經	宋 法賢譯	4
	0481	0161	(常)	0161	(常)	持人菩薩經	西晉 竺法護譯	4
常10	0482	0162	(常)	0162	(常)	持世經	姚秦 鳩摩羅什譯	4
行04	1162	0487	(行)	0488	(行)	持世陀羅尼經	唐 玄奘譯	1
	0785-t1	0686-t1	(敬)		(敬)	持錫杖法		1
慕10	0585	0192	(慕)	0193	(慕)	持心梵天所問經	西晉 竺法護譯	4
之01	0963	1004	(之)	1005	(之)	佛說熾盛光大威德消災吉祥陀羅尼經	唐 不空譯	1
輔06	1951	1511	(鋪)	1582	(馳)	熾盛光道場念誦儀	宋 遵式撰	1
	0498	0940	(夙)	0941	(夙)	佛說初分說經	宋 施護譯	2
當10	0707	0770	(當)	0771	(當)	佛說出家功德經	失譯	1
敬06	0791	0681	(敬)	0682	(敬)	佛說出家緣經	後漢 安世高譯	1
封07	2145	1468	(戶封)			出三藏記集	梁 僧祐撰	15
羊9	0837	0445	(羊)	0446	(羊)	佛說出生菩提心經	隋 闍那崛多譯	1
興09	1018	0355	(莫)	0356	(莫)	出生無邊門陀羅尼經	唐 智嚴譯	1
興09	1009	0950	(興)	0951	(興)	出生無邊門陀羅尼經	唐 不空譯	1
莫07	1012	0351	(莫)	0352	(莫)	佛說出生無量門持經	東晉 佛陀跋陀羅譯	1
	1243	1013	(流)	1014	(流)	佛說出生一切如來法眼遍照大力明王經	宋 法護譯	2
內10	0212	1313	(廣內)	1314	(廣內)	出曜經	姚秦 竺佛念譯	30
溫08	0489	0958	(溫)	0959	(溫)	佛說除蓋障菩薩所問經	宋 法護等譯	20
短10	0744	0393	(短)	0394	(短)	佛說除恐災患經	乞伏秦 聖堅譯	1
斯01	1323	0977	(斯)	0978	(斯)	除一切疾病陀羅尼經	唐 不空譯	1
敬04	0730	0679	(敬)	0680	(敬)	佛說處處經	後漢 安世高譯	1
回10	2078	1521	(回)	1588	(回)	傳法正宗記	宋 契嵩編	9
綺10	2080	1520	(綺)	1589	(百)	傳法正宗論	宋 契嵩編	2
	0618	1333	(集)	1334	(集)	達摩多羅禪經	東晉 佛陀跋陀羅譯	2
貞04	0364	0198	(貞)	0199	(貞)	佛說大阿彌陀經	宋 王日休校輯	2
周10	0398	0075	(周)	0075	(周)	大哀經	西晉 竺法護譯	8
隨02	1478	1141	(隨)	1142	(隨)	大愛道比丘尼經	失譯	2
	0144	0645	(慶)	0646	(慶)	佛說大愛道般泥洹經	西晉 白法祖譯	1
臨09	1379	0890	(臨)	0891	(臨)	佛說大愛陀羅尼經	宋 法賢譯	1
敬02	0602	0676	(敬)	0677	(敬)	佛說大安般守意經	後漢 安世高譯	2
之10	0977	1010	(之)	1011	(之)	佛說大白傘蓋總持陀羅尼經	元 真智等譯	1
食06	0376	0116	(食)	0116	(食)	佛說大般泥洹經	東晉 法顯譯	6
駒08	0007	0114	(駒)	0114	(駒)	大般涅槃經	東晉 法顯譯	3
駒08	0374	0109	(賓-鳴)	0109	(賓-鳴)	大般涅槃經	北涼 曇無讖譯	40
駒08	0375	0110	(鳳-白)	0110	(鳳-白)	大般涅槃經	宋 慧嚴等依泥洹經加之	36
白08	0377	0111	(白)	0111	(白)	大般涅槃經後分	唐 若那跋陀羅譯	2
	1527	1198	(顛)	1199	(顛)	涅槃論	婆藪槃豆作　元魏 達磨菩提譯	1
土05	1767	1537	(滅虢踐)	1514	(佐-衡)	大般涅槃經疏	隋 灌頂撰	33
滅02	1765	1536	(土)	1515	(衡)	大般涅槃經玄義	隋 灌頂撰	2
柰10	0220	0001	(天-奈)	0001	(天-奈)	大般若波羅蜜多經	唐 玄奘譯	600
	1005A	1022	(息)	1023	(息)	大寶廣博樓閣善住祕密陀羅尼經	唐 不空譯	3
字10	0310	0020	(龍-字)	0020	(龍-字)	大寶積經	唐 菩提流志譯	120
虧10	1523	1227	(虧)	1228	(虧)	大寶積經論	後魏 菩提流支譯	4
	0158	0175	(敢)	0176	(敢)	大乘悲分陀利經	失譯	8
思09	0892	1054	(思)	1055	(思)	佛說大悲空智金剛大教王儀軌經	宋 法護譯	5
駒05	0380	0113	(駒)	0113	(駒)	大悲經	高齊 那連提耶舍譯	5
隸07	1066	1436	(隸)	1437	(隸)	大悲心陀羅尼修行念誦略儀	唐 不空譯	1
別10	1470	1120	(別)	1121	(別)	大比丘三千威儀	後漢 安世高譯	2
	2053	1486	(奄)	1531	(孰)	大唐大慈恩寺三藏法師傳	唐 慧立本．彥悰箋	10
情10	1667	1242	(情)	1243a	(情)	大乘起信論	馬鳴菩薩造　唐 實叉難陀譯	2
情10	1666	1242	(情)	1243b	(情)	大乘起信論	馬鳴菩薩造　梁 真諦譯	1
	1848	1618	(岩岫)	1601	(田赤)	起信論疏筆削記	宋 子璿錄	20
岩05		1617	(岩)	1600	(田)	大乘起信論疏	法藏述	5
染02	0270	0435	(染)	0436	(染)	大法鼓經	劉宋 求那跋陀羅譯	2
可10	1340	0417	(使可)	0418	(使可)	大法炬陀羅尼經	隋 闍那崛多譯	20
墨07	0156	0426	(墨)	0427	(墨)	大方便佛報恩經	失譯	7
信10	1339	0416	(信)	0417	(信)	大方等陀羅尼經	北涼 法眾譯	4
羔10	0945	0441	(羔)	0442	(羔)	大佛頂如來密因修證了義諸菩薩萬行首楞嚴經	唐 般剌蜜帝譯	10
		1616	(綿邈)	1610	(綿邈)	大佛頂首楞嚴經會解	般刺密帝譯　彌伽釋迦譯語　房融筆受　惟則會解	20
	1331	0163	(恭)	0163	(恭)	佛說灌頂經	東晉 帛尸梨蜜多羅譯	12
	1392	0794	(忠)	0795	(忠)	大寒林聖難拏陀羅尼經	宋 法天譯	1
忠02	1048	0788	(忠)	0789	(忠)	佛說大護明大陀羅尼經	宋 法天譯	1
武10	1998A	1524	(說感武)			大慧普覺禪師語錄	宋 蘊聞編	30
興09	1252b	0952	(興)	0953	(興)	佛說大吉祥天女十二名號經	唐 不空譯	1
